gelukm;gelukv;educm;heightm;BMIm;healthm;consm;extram;agreem;emom;autom;riskym;Agem;educv;heightv;BMIv;healthv;consv;extrav;agreev;emov;autov;riskyv;Agev
1;2;2;186;23,413111;4;0,06098;0,614413;0,44224;-0,21264;0,605725;0,275598;27;2;178;21,461937;4;-0,084943;0,31049;0,079351;-0,649145;0,270635;-1,261148;26
2;2;2;187;22,877405;3;-0,218967;-0,360787;-0,164435;0,205953;0,248863;0,566695;26;1;174;20,478266;3;-0,207068;1,305035;-0,648286;-0,57774;-0,433369;0,222385;26
1;1;2;170;24,913494;2;0,212246;-0,333734;-0,049547;-0,24966;-0,640062;-0,611952;40;2;167;31,553659;3;-1,00004;0,748011;-0,767388;0,162019;-0,631702;-0,137839;30
2;2;2;182;27,472527;2;-0,60914;-0,351606;-0,053268;-0,189534;0,13762;-1,975964;29;1;165;33,05785;4;-0,18764;-0,370951;-0,303129;-0,337059;-0,159904;-0,196994;27
1;1;2;178;31,561672;4;-0,741707;0,311473;0,251647;0,677133;-0,132105;0,440057;30;2;164;33,462223;4;-0,475116;0,330818;0,235776;-0,704371;-0,386083;0,076019;29
2;2;2;178;24,618103;2;-0,473659;-0,238336;-0,564646;-0,476724;-0,132105;0,582297;27;2;172;23,661438;3;0,86221;1,712064;-0,525463;-1,216982;-1,235109;-0,103435;21
2;1,5;3;189;23,795527;4;-0,313407;-0,058338;-0,509592;0,986303;-0,953332;0,12667;41;3;168;23,030045;4;0,737171;0,074769;1,379496;0,724397;0,782285;0,474702;38
2;2;2;189;27,994738;2;0,087208;-0,238336;-0,482065;1,080678;-0,857882;0,173864;35;2;180;25,617285;4;0,481023;0,320654;0,235776;-0,638526;0,022683;-0,070892;28
2;2;2;175;26,12245;3;1,188541;-1,089118;0,548627;0,382761;-1,135966;0,594565;44;2;160;23,828125;4;0,101292;-0,52193;-0,735647;0,60333;-1,11186;0,020681;40
2;2,5;3;175;26,775511;4;-0,606954;-0,36177;0,087287;0,222356;-0,16593;0,346439;38;3;172;19,605192;3;0,633017;-0,786178;0,532756;0,372345;-0,120052;0,126423;38
2;2;3;183;22,395414;4;0,345542;-0,522913;0,477702;0,574423;0,363799;0,33371;38;2;168;18,424036;3;-1,70683;0,432941;-0,953201;-0,251648;-0,07646;-0,773158;37
